periodo_anual,ingresos_totales,coste_de_bienes_vendidos,beneficio_bruto,gastos_operativos,gastos_generales_administrativos,EBIT,gastos_financieros,otros_gastos,beneficios_antes_de_impuestos,impuestos_sobre_beneficios,beneficio_neto,efectivo,cuentas_por_cobrar,activos_corrientes,activos_intangibles,activos_no_corrientes,inventario,propiedad_planta_y_equipo,activos_totales,activos_tangibles,deuda_a_corto_plazo,pasivos_corrientes,deuda_a_largo_plazo,pasivos_no_corrientes,deuda_total,isr_por_pagar,pasivos_totales,capital_social,reservas,utilidades_retenidas,patrimonio_neto,acciones_totales,intereses_pagados,flujo_de_efectivo_operativo,depreciacion_y_amortizacion,flujo_de_efectivo_inversion,capex,pagos_de_deuda,flujo_de_efectivo_financiamiento,dividendos_pagados,dividendo_emitido,flujo_de_efectivo,tasa_libre_de_riesgo,beta_de_la_accion,prima_de_riesgo,cotizacion,inflacion
2015,311589,188410,123179,88963,88963,34216,6753,2318,25163,7932,17213,29396,18012,86723,108341,322609,24680,80296,409332,300991,5895,65346,86428,102130,92323,9136,167476,3348,25870,156532,241856,2161.17777,4563,36742,10825,-28359,30487,15250,-13741,10701,2.2,-5358,0.0368,0.2,0.051,162.44,0.0213
2016,399507,251303,148204,106459,106459,41745,8347,4752,28556,7888,20758,43637,26222,117951,153268,427672,31932,102223,545623,392355,7281,86289,139287,173164,146568,11360,259453,3348,25733,168796,286170,2161.17777,5470,50131,13709,-38645,26304,5458,1297,12045,2.5,12783,0.0668,0.2,0.057,161.89,0.0472
2017,460456,290188,170268,121218,121218,49050,9558,-782,40274,10583,29691,96944,32316,181188,154093,407353,34840,116712,588541,434448,13590,105022,120555,146607,134145,11214,251629,3348,26808,201868,336912,2161.17777,6578,40135,17665,31417,20838,18130,-21539,12450,2.584,50013,0.0778,0.2,0.069,167.52,0.0555
2018,469744,294574,175170,132273,132273,42897,6993,2274,33630,10169,23461,62047,28164,177607,145610,398774,35686,108602,576381,430771,13674,101464,117222,139375,130896,12264,240839,3348,26850,217802,335542,2161.17777,6799,47414,17237,-57662,27597,17182,-23011,12933,2.759,-33258,0.0862,0.2,0.07,176.47,0.0437
2019,506711,315230,191481,143688,143688,47793,10965,3892,32296,10476,22460,65562,29633,172579,146562,464962,41023,114513,637541,490979,16204,136534,104228,175256,120432,11717,311790,3348,18162,229794,325751,2161.17777,6503,61638,25810,-14132,30062,26301,-38433,13629,2.9,9073,0.0725,0.2,0.082,177.79,0.0324
2020,492966,303313,189653,146658,146658,42995,15416,9038,19311,14819,3722,107624,28249,201269,155501,483579,44034,113106,684848,529347,8801,118413,184886,259248,193687,12578,377661,3348,17808,217430,307187,2161.17777,9615,53173,28049,-31367,42081,63278,19575,15868,2.84165,41381,0.0429,0.2,0.07,150.34,0.0354
2021,556261,342548,213713,161912,161912,51801,15474,-2160,41191,14278,24209,97407,33898,230718,158138,506782,50896,115147,737500,579362,4640,136723,188309,265660,192949,16260,402383,3348,17862,238306,335117,2161.17777,9469,73090,27987,-46175,27906,38747,-36989,13399,2.3,-10074,0.0695,0.2,0.058,159.98,0.0707
2022,673202,421534,251668,186864,186864,64804,12472,1782,41680,14395,36155,83439,45257,226449,190772,572366,62224,134001,798815,608043,18341,176922,180018,284092,198359,16694,461014,3347,17714,251192,337801,2161.17777,8358,72576,30527,-46432,70467,9882,-35989,17506,1.9319,-9754,0.0107,0.2,0.078,150.49,0.0791
2023,702692,423185,279507,231234,231234,48273,-2693,-6850,57816,12971,44845,165112,38863,356159,143218,449697,58222,141530,805856,662638,8451,182381,138038,245106,146489,9666,427487,3348,17599,304653,378369,2161.17777,10587,49679,34017,132292,39024,43421,-92552,18798,3.6644,93426,0.113,0.2,0.067,221.46,0.0488
2024,781585,460072,321513,241022,241022,80491,8092,5852,66547,25433,41114,139834,43192,342311,146336,509225,67464,177511,851536,705200,6722,202930,148241,267475,154963,7207,470405,3261,-2586,306400,381131,3470.03453,8603,71510,39310,-33122,51199,6364,-84049,25080,11.8746,-45661,0.108,0.2,0.068,178.7,0.0359
2025,840954,499387,341576,272282,272282,69294,13641,2816,52837,19860,32977,107980,48319,283116,145506,512761,69452,189672,795877,650371,20674,210014,126992,256511,147666,4647,466525,3221,-17413,278825,329352,3470.03453,8787,71080,44138,-2061,38502,1817,-92000,49925,11.02,-22981,0.083,0.4,0.062,181.5,0.0369
