trimestre,oxxo_totales,combustibles_totales,salud_totales,usuarios_spin_totales,trafico_transacciones,ticket_promedio,venta_por_tienda,ingresos,coste_ventas,beneficio_bruto,gastos_operativos,gastos_generales_administrativos,ebit,gastos_financieros,otros_gastos,beneficios_antes_de_impuestos,impuestos_sobre_beneficios,beneficio_neto,acciones_totales,efectivo,cuentas_por_cobrar,activos_corrientes,activos_intangibles,activos_no_corrientes,inventario,propiedad_planta_y_equipo,activos_totales,activos_tangibles,deuda_a_corto_plazo,pasivos_corrientes,deuda_a_largo_plazo,pasivos_no_corrientes,deuda_total,pasivos_acumulados,pasivos_diferidos_operativos,isr_por_pagar,pasivos_totales,patrimonio_neto,capital_social,reservas,utilidades_retenidas,tasa_libre_de_riesgo,beta_de_la_accion,prima_de_riesgo,inflacion,cotizacion
2022 Q4,21458,568,4095,16.8,18.1,51.4,932.2,186467,113979,72488,55083,55083,17405,6488,1018,9899,2345,7554,3578.22627,83439,45541,226463,190354,572158,62224,134001,798621,608267,1862,173866,170989,286099,172851,145438,26840,2345,459965,338656,3347,17714,251192,0.0845,0.2,0.069,0.0426,150.4
2023 Q1,21615,570,4186,16.9,17.2,52.1,895.9,180011,112998,67013,54470,54470,12543,-1955,251,14247,4328,9919,3470.03453,99927,40976,334115,83730,476577,61312,131501,810692,726962,2073,188630,138485,260922,140558,159834,34214,4328,449552,361140,3348,17599,304653,0.0845,0.2,0.069,0.0426,169.95
2023 Q2,22059,570,4267,21.5,19.4,53.7,1042.5,198220,123650,74570,57989,57989,16581,7264,-9410,18727,5618,13109,3470.03453,153999,47375,314094,83864,466908,58557,133476,781002,697138,1862,178048,130547,241246,132409,157554,21930,5618,419294,361708,3348,17599,304653,0.0845,0.2,0.069,0.0426,189.8
2023 Q3,22352,571,4347,24.1,19.5,53.6,1047.2,188095,116013,72082,56153,56153,15929,-4397,-262,20588,6540,14048,3470.03453,160442,45304,378441,153133,439717,55782,138420,818158,665025,2936,196424,132350,245833,135286,165855,22690,6540,442257,375901,3348,17599,304653,0.0845,0.2,0.069,0.0426,190.3
2023 Q4,22866,571,4474,26.2,18.2,54.5,989.9,189825,111910,77915,60383,60383,17532,7834,2494,7204,2471,4733,3470.03453,165112,38863,356216,144815,449620,58222,141530,805836,661021,2453,186286,125417,240422,127870,161605,24247,2471,426708,379128,3348,17599,304653,0.082,0.2,0.067,0.0488,221.46
2024 Q1,23290,570,4440,29.1,17.5,54.8,960,178204,107980,70224,55457,55457,14767,3266,2426,9075,3267,5808,3470.03453,137530,38683,347427,141168,450133,54571,142785,797560,656392,2373,206738,126303,243442,128676,177541,27757,3267,450180,347380,3261,-2586,306400,0.0844,0.2,0.073,0.0465,215.64
2024 Q2,23680,570,4496,30.7,18.8,56.1,1057.8,198745,116305,82440,64814,64814,17626,-4621,137,22110,6555,15555,3470.03453,121429,39744,351272,142293,469145,57769,150440,820417,678124,2898,204425,131542,250731,134440,172838,24054,6555,455156,365261,3261,-2586,306400,0.0872,0.2,0.077,0.0557,197.1
2024 Q3,24008,569,4532,32,17.9,57,1021.5,196771,117403,79368,61994,61994,17374,-1573,40,18907,5936,12971,3470.03453,155770,41491,339669,147063,510230,63171,162387,849899,702836,3072,209401,137794,263238,140866,173594,24161,5936,472639,377260,3261,-2586,306400,0.0897,0.2,0.073,0.0476,194.13
2024 Q4,24462,571,4661,33.2,17.2,58.3,997.7,208311,117405,90906,68271,68271,22635,849,5199,16587,8769,7818,3470.03453,139834,43192,342311,146418,509896,67464,177397,852207,705789,3775,205260,139151,264363,142926,175461,21951,8769,469623,382584,3261,-2586,306400,0.094,0.2,0.071,0.0359,178.7
2025 Q1,24847,562,4594,34.1,16,57.5,918.7,195820,116902,78918,65354,65354,13564,1413,830,11321,4781,6540,3470.03453,109345,41818,333560,149380,522323,66548,181957,855883,706503,3775,203393,131736,260714,135511,162538,24550,4781,464107,391776,3261,19182,229277.3,0.091,0.2,0.069,0.0393,198.02
2025 Q2,25180,559,4321,36,17.1,59.7,1023.5,211364,125442,85922,68091,68091,17831,6719,269,10843,4339,6504,3470.03453,129852,42083,323259,146503,507783,66606,182186,831042,684539,5885,241372,136215,264620,142100,199896,24829,4339,505992,325050,3261,19182,229277.3,0.087,0.2,0.066,0.0351,192.65
2025 Q3,25378,558,4391,37.6,17,59.6,1011.2,214638,128929,85709,67584,67584,18125,4769,436,12920,3785,9135,3470.03453,123635,44487,296417,145802,511544,63485,186916,807961,662159,3535,220968,130822,259554,134357,188653,24968,3785,480522,327439,3261,19182,229277.3,0.087,0.2,0.061,0.0357,181.07
2025 Q4,25587,552,4503,38.6,16.7,61.1,1018,220091,128669,91422,66875,66875,24547,4394,1941,18212,7004,11208,3469.469527,123635,44487,296417,145802,511544,63485,186916,807961,662159,5862,210014,126992,256511,132854,174152,24097,7004,466525,341436,3261,19182,229277.3,0.083,0.4,0.0617,0.0369,193
